col_index,col_index_det,col_people,col_people_rating,col_people_link
205,2,DF,3119,https://www.vivino.com/users/david.fult
206,0,Ken Kasper,2405,https://www.vivino.com/users/ken-ka
206,1,Mike Benson,3410,https://www.vivino.com/users/mike.benso
206,2,M&M Cherevaty,1850,https://www.vivino.com/users/matt.chere
207,0,bruno schenk - wine o'clock,2924,https://www.vivino.com/users/bruno71
207,1,bridegroom,7796,https://www.vivino.com/users/petra-brau
207,2,Ed Yu,770,https://www.vivino.com/users/m398e4c106c0f632e6d7a38d9f5e5cea
208,0,Arunas Starkus,2314,https://www.vivino.com/users/arunasstarkus
208,1,Jeffrey P,804,https://www.vivino.com/users/jeffrey.par
208,2,Stefan Costache,1023,https://www.vivino.com/users/stef_clau
209,0,Benjamin Bailleux,1779,https://www.vivino.com/users/benjamin.bai
209,1,David P,1650,https://www.vivino.com/users/davidp20
209,2,Sylvester Gbewonyo Jr.,4897,https://www.vivino.com/users/sylvester.g
210,0,Alex Dantziguian,1108,https://www.vivino.com/users/alex.dant
210,1,Ling Tin,979,https://www.vivino.com/users/ling.ti
210,2,Ptit LU E.,1972,https://www.vivino.com/users/ptit-lue
