col_index,col_winery,col_wine,col_figure,col_rating,col_ratingC,col_location_country,col_location_region,col_url,col_year
281,Château Mouton Rothschild,Pauillac (Premier Grand Cru Classé) 2008,NA,4.5,802,France,Pessac-Léognan,https://www.vivino.com/chateau-mouton-rothschild-pauillac-premier-grand-cru-classe/w/1684223?year=2008&price_id=16834732,2008
282,La Rioja Alta,Gran Reserva 890 2004,NA,4.5,791,France,Pessac-Léognan,https://www.vivino.com/la-rioja-alta-gran-reserva-890/w/7971?year=2004&price_id=16645946,2004
283,Speri,Vigneto Monte Sant'Urbano Amarone della Valpolicella Classico 2013,NA,4.5,759,Italy,Amarone della Valpolicella Classico,https://www.vivino.com/speri-vigneto-monte-sant-urbano-amarone-della-valpolicella-classico/w/22954?year=2013&price_id=17568471,2013
284,La Rioja Alta,Gran Reserva 890 2001,NA,4.5,751,Italy,Amarone della Valpolicella Classico,https://www.vivino.com/la-rioja-alta-gran-reserva-890/w/7971?year=2001&price_id=4048956,2001
285,Terra Rossa,Vigne Vecchie Primitivo di Manduria 2014,NA,4.5,743,Italy,Primitivo di Manduria,https://www.vivino.com/terra-rossa-lecce-vigne-vecchie-primitivo-di-manduria/w/5746163?year=2014&price_id=16849682,2014
286,Château Léoville Las Cases,Saint-Julien (Grand Cru Classé) 1996,NA,4.5,703,France,Saint-Julien,https://www.vivino.com/chateau-leoville-las-cases-saint-julien-grand-cru-classe/w/81848?year=1996&price_id=18150525,1996
287,Bollinger,La Grande Année Rosé Brut Champagne 2004,NA,4.5,639,France,Saint-Julien,https://www.vivino.com/bollinger-la-grande-annee-rose-brut-champagne/w/1840114?year=2004&price_id=2210634,2004
288,Bertani,Amarone della Valpolicella Classico 2003,NA,4.5,625,Italy,Amarone della Valpolicella Classico,https://www.vivino.com/bertani-amarone-della-valpolicella-classico/w/1835?year=2003&price_id=16317717,2003
289,Viña Cobos,Bramare Marchiori Vineyard Cabernet Sauvignon 2013,NA,4.5,625,Italy,Amarone della Valpolicella Classico,https://www.vivino.com/vina-cobos-bramare-marchiori-vineyard-cabernet-sauvignon/w/43954?year=2013&price_id=18066657,2013
290,Beringer,Private Reserve Cabernet Sauvignon 2007,NA,4.5,618,United States,Napa Valley,https://www.vivino.com/beringer-vineyards-private-reserve-cabernet-sauvignon/w/73673?year=2007&price_id=17768214,2007
291,Taylor's,30 Year Old Tawny Port N.V.,NA,4.5,594,Portugal,Aged Tawny Port,https://www.vivino.com/taylors-port-thirty-year-old-tawny-port/w/1238441?year=N.V.&price_id=2341499,N.V.
292,Viña Vik Winery,Red Blend 2011,NA,4.5,587,Chile,Colchagua Valley,https://www.vivino.com/vina-vik-winery-red-blend/w/1524704?year=2011&price_id=15978928,2011
293,Luccarelli,Pazzia Primitivo di Manduria 2014,NA,4.5,584,Italy,Primitivo di Manduria,https://www.vivino.com/luccarelli-pazzia-primitivo-di-manduria/w/1157035?year=2014&price_id=17540155,2014
294,Château Mouton Rothschild,Le Petit Mouton de Mouton Rothschild Pauillac 2010,NA,4.5,577,Italy,Primitivo di Manduria,https://www.vivino.com/chateau-mouton-rothschild-le-petit-mouton-de-mouton-rothschild-pauillac/w/2716528?year=2010&price_id=8146668,2010
295,Dom Pérignon,Brut Champagne 1992,NA,4.5,574,Italy,Primitivo di Manduria,https://www.vivino.com/dom-perignon-brut-champagne/w/86684?year=1992&price_id=16834884,1992
296,Château Mouton Rothschild,Pauillac (Premier Grand Cru Classé) 2012,NA,4.5,569,Italy,Primitivo di Manduria,https://www.vivino.com/chateau-mouton-rothschild-pauillac-premier-grand-cru-classe/w/1684223?year=2012&price_id=6355121,2012
297,Quinta do Crasto,Touriga Nacional 2011,NA,4.5,559,Italy,Primitivo di Manduria,https://www.vivino.com/quinta-do-crasto-touriga-nacional/w/1751269?year=2011&price_id=13329405,2011
298,Caballo Loco,Red Blend 2016,NA,4.5,551,Chile,Lontue Valley,https://www.vivino.com/caballo-loco-red-blend/w/1259235?year=2016&price_id=15799342,2016
299,Herdade da Maroteira,Cem Reis Reserva Syrah 2016,NA,4.5,551,Portugal,Alentejano,https://www.vivino.com/herdade-da-maroteira-cem-reis-reserva-syrah/w/1185290?year=2016&price_id=16442777,2016
300,Château Montrose,Saint-Estèphe (Grand Cru Classé) 2009,NA,4.5,540,France,Saint-Estèphe,https://www.vivino.com/chateau-montrose-saint-estephe-grand-cru-classe/w/80472?year=2009&price_id=4062360,2009
301,Sena,Aconcagua Valley 2015,NA,4.5,523,Chile,Aconcagua Valley,https://www.vivino.com/sena-aconcagua-valley/w/25474?year=2015&price_id=17833314,2015
302,Château Margaux,Margaux (Premier Grand Cru Classé) 2008,NA,4.5,521,Chile,Aconcagua Valley,https://www.vivino.com/chateau-margaux-margaux-premier-grand-cru-classe/w/1127795?year=2008&price_id=8146845,2008
303,Château Pichon Longueville Comtesse de Lalande,Pauillac (Grand Cru Classé) 2010,NA,4.5,520,Chile,Aconcagua Valley,https://www.vivino.com/chateau-pichon-longueville-comtesse-de-lalande-pauillac-grand-cru-classe/w/1125543?year=2010&price_id=16502486,2010
304,Caballo Loco,Red Blend 2014,NA,4.5,516,Chile,Lontue Valley,https://www.vivino.com/caballo-loco-red-blend/w/1259235?year=2014&price_id=7243894,2014
